LigandID,Score,SMILES,OnBits
1124,-3.6,O=C1N2C([C@@H]3C[N+@H](C)CC(C2)C3)=CC=C1,"91,140,147,457,807,844"
6062,11.3,O(C)c1c(O[C@@H]2[C@H](O)[C@H](O)[C@@H](O)[C@@H](CO)O2)cc2OC=C(c3ccc(O)cc3)C(=O)c2c1,"13,33,80,136,209,210,221,222,233,237,249,289,299,304,314,333,352,356,384,463,465,489,492,512,524,525,578,610,624,650,656,667,690,695,696,726,740,745,754,784,807,820,841,849,875,896,897,946,953,989,1017,1019"
4155,1.0,S(=O)(=O)(CC)c1cc(C(=O)NC[C@H]2[N+@H](CC)CCC2)c(OC)cc1,"91,140,147,457,807,844"
3158,1.1,O[C@](CC[N+H]1CCCCC1)([C@H]1C2C=CC(C1)C2)c1ccccc1,"91,140,147,457,807,844"
3674,3.9,O=C([O-])Cc1c(c(-c2ccc(OC)cc2)no1)-c1ccc(OC)cc1,"33,80,136,196,202,248,284,322,323,325,356,361,371,378,471,476,512,515,518,624,627,650,656,695,715,718,723,726,781,785,799,807,831,841,849,893,896"
1049,-2.4,C(=C\CC[C@@]1(C)C(=C)C2CC1CC2)(\C)/C,"33,35,36,80,95,223,233,250,264,268,301,342,356,370,380,401,446,479,485,528,550,558,612,652,694,795,807,902,926,956,976,1017,1019"
4615,-3.1,S(=O)(=O)(O/N=C(\S[C@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](CO)O1)/[C@H](CC)C)[O-],"1,13,33,42,80,83,116,193,195,210,222,233,283,285,294,350,353,403,431,452,463,492,502,520,604,610,650,656,672,695,715,725,736,740,807,820,836,857,897,958,987,1006,1019"
2124,-2.5,O(CCc1ccc(OC[C@H](O)C[N+H2]C(C)C)cc1)C,"91,140,147,457,807,844"
2665,-3.0,O(C[C@@H](O)C[N+H2]C(C)(C)C)c1c2c(C(=O)CCC2)ccc1,"91,140,147,457,807,844"
2338,-3.2,Clc1c(N)c(Cl)cc([C@@H](O)C[N+H2]C(C)(C)C)c1,"91,140,147,457,807,844"
7874,125.6,O(C)c1c(OC)cc2c3[C@H]([N+@@H](C)CC2)Cc2cc(c(OC)cc2)Oc2ccc(cc2)C[C@@H]2[N+@@H](C)CCc4c2cc(c(OC)c4)Oc13,"91,140,147,457,807,844"
6738,33.8,O[C@H](C(O)(C)C)[C@H]1O[C@@H](O)[C@@H]([C@H]2[C@]3(C)[C@](C)(C=4[C@H]([C@]5(C)[C@@H](C(C)(C)[C@H](O)CC5)CC=4)CC3)CC2)C1,"1,20,31,33,36,86,114,138,170,180,227,233,250,268,301,356,392,409,412,418,453,478,507,519,529,549,555,576,582,598,610,622,634,656,690,699,742,757,760,766,781,788,807,812,847,849,883,884,897,926,927,938,981,988,991,1019"
6130,13.8,O=C(OCC)C1(c2ccccc2)CC[N+H](CCC(C#N)(c2ccccc2)c2ccccc2)CC1,"91,140,147,457,807,844"
7223,43.7,O=C[C@]12[C@@](O)(C[C@@H](O[C@H]3[C@@H](O)[C@H](O)[C@@H](O)[C@H](C)O3)CC1)CC[C@@H]1[C@]3(O)[C@@](C)([C@H](C4=CC(=O)OC4)CC3)CC[C@H]21,"13,33,36,57,67,73,84,109,119,130,138,233,245,250,263,285,299,301,313,314,324,336,356,357,412,426,441,449,463,489,493,497,503,519,529,550,555,574,580,590,609,650,656,679,682,694,695,699,722,738,772,776,805,807,811,817,849,857,869,891,897,926,974,1004,1008,1019"
1794,0.3,O[C@H]1C[C@@H]2[C@@H]([C@H]3[C@H]([C@@H]4[C@@H](CC3)CCC4)CC2)CC1,"4,26,39,120,233,268,276,301,343,443,486,522,585,590,622,802,807,926,937,971,1019,1023"
2090,-3.4,O(C[C@@H](O)C[N+H2]C(C)C)c1c(OCC=C)cccc1,"91,140,147,457,807,844"
8250,42.2,O(C[C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](OC2=C(c3cc(OCCO)c(OCCO)cc3)Oc3c(c([O-])cc(OCCO)c3)C2=O)O1)[C@H]1[C@H](O)[C@H](O)[C@H](O)[C@@H](C)O1,"10,13,33,36,73,79,80,94,104,112,124,136,170,222,233,271,285,299,314,322,333,345,356,378,389,411,424,428,443,463,473,489,494,501,524,525,550,580,610,628,650,656,695,696,697,715,722,726,747,772,779,784,807,820,823,845,849,854,875,896,897,913,946,953,960,1004,1019"
73,-3.9,O=C(OCCO)C,"11,13,33,80,147,222,312,345,473,650,687,695,807,846,893,1017"
2829,3.0,O=C([O-])c1c(O)ccc(N=Nc2cc(C(=O)[O-])c(O)cc2)c1,"187,202,356,451,544,569,578,583,650,656,674,687,715,725,726,807,830,849,875,893,931,967"
1298,-4.8,ClC[C@H](O)Cn1c(C)ncc1[N+](=O)[O-],"1,33,80,85,160,171,172,207,227,281,356,378,428,468,501,506,511,650,659,698,715,753,796,802,807,838,849,891,898,917,935,936,939,949,1014"
7562,33.9,O([C@H]1[C@H](O)[C@H](Oc2c(OC)c([O-])c3C(=O)C=C(c4ccccc4)Oc3c2)O[C@@H](C)[C@H]1O)[C@H]1[C@H](O)[C@H](O)[C@H](O)[C@@H](CO)O1,"13,33,53,64,73,80,115,121,136,175,210,222,233,271,285,299,314,333,356,357,389,427,463,473,489,492,501,512,524,550,575,580,610,630,650,656,666,667,695,696,715,722,726,736,740,751,779,782,784,807,820,841,849,865,869,875,882,897,920,926,946,953,960,965,974,992,1019"
4430,15.8,O[C@@H](C)[C@]1(O)[C@]2(C)[C@@H](O)C[C@@H]3[C@]4(C)C(=CC[C@H]3[C@]2(O)CC1)C[C@H](O)CC4,"1,9,16,33,36,120,130,138,190,195,227,231,233,250,260,268,283,301,315,356,360,367,439,504,519,520,590,598,682,694,696,708,742,757,760,775,787,807,823,849,850,860,878,926,1019"
1459,-3.8,O=C1Oc2c(ccc3O[C@@H](C(=C)C)Cc23)C=C1,"11,33,89,133,203,231,234,239,250,271,314,342,348,356,361,438,580,590,614,650,656,716,726,750,758,762,803,807,831,849,860,881,926,1017,1019,1022"
188,-4.1,O=C([O-])Cc1ccccc1,"42,64,80,175,202,284,325,356,389,650,715,726,730,785,807,849,893,913"
1816,-3.5,O(C[C@H](O)C[N+H2]C(C)(C)C)c1c(C#N)cccc1,"91,140,147,457,807,844"
1040,-4.1,[O-][N+](CCc1c2c([nH]c1)cccc2)(C)C,"33,64,80,90,119,175,219,237,246,287,325,328,333,349,356,364,414,427,476,549,583,628,715,726,759,806,849,855,913"
900,-3.6,C[N+@@H]1[C@@H](C)[C@H](c2ccccc2)OCC1,"91,140,147,457,807,844"
